name,species,breed,gender,ageInMonths,weight,color,adoptionFee,vaccinationStatus,description,photoUrl,size,energyLevel,exerciseNeeds,trainingNeeds,trainedLevel,childFriendlyScore,petFriendlyScore,strangerFriendlyScore,needsYard,canLiveInApartment,groomingNeeds,estimatedMonthlyCost,noiseLevel,canBeLeftAlone,maxHoursAlone,requiresExperiencedOwner,temperamentTags
Buddy,Dog,Golden Retriever,male,24,30,Golden,350,up_to_date,Friendly and energetic Golden Retriever. Great with kids and families.,https://images.unsplash.com/photo-1633722715463-d30f4f325e24?w=800,large,4,high,moderate,intermediate,9,8,7,true,false,moderate,150,moderate,true,4,false,"friendly,energetic,loyal,playful"
Luna,Dog,Poodle Mix,female,18,8,White,250,up_to_date,Sweet and calm Poodle mix. Perfect for apartment living.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,small,2,minimal,low,advanced,8,9,6,false,true,high,100,quiet,true,8,false,"calm,gentle,affectionate,quiet"
Max,Dog,Border Collie,male,30,20,Black and White,400,up_to_date,Highly intelligent Border Collie. Needs active family.,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?w=800,medium,5,very_high,high,advanced,7,6,5,true,false,moderate,180,moderate,false,4,true,"intelligent,energetic,trainable,protective"
Molly,Dog,Labrador Retriever,female,36,28,Yellow,300,up_to_date,Gentle and loving Labrador. Perfect family dog.,https://images.unsplash.com/photo-1585664811087-47f65abbad64?w=800,large,3,moderate,low,advanced,10,9,9,true,false,low,140,quiet,true,6,false,"gentle,friendly,patient,loyal"
Whiskers,Cat,Domestic Shorthair,male,24,4.5,Tabby,100,up_to_date,Independent and low-maintenance cat. Perfect for busy professionals.,https://images.unsplash.com/photo-1574158622682-e40e69881006?w=800,small,2,minimal,low,basic,6,5,3,false,true,low,60,quiet,true,12,false,"independent,calm,quiet,low-maintenance"
Tank,Dog,Great Dane,male,48,70,Black,450,up_to_date,Gentle giant despite his size. Very calm and loving.,https://images.unsplash.com/photo-1583337130417-3346a1be7dee?w=800,large,2,moderate,low,advanced,9,7,8,true,false,low,200,quiet,true,6,false,"gentle,calm,affectionate,patient"
Charlie,Dog,Beagle,male,20,12,Tri-color,280,up_to_date,Friendly Beagle with great nose. Loves exploring and sniffing.,https://images.unsplash.com/photo-1505628346881-b72b27e84530?w=800,medium,3,moderate,moderate,basic,9,8,8,true,false,low,110,vocal,true,5,false,"curious,friendly,energetic,vocal"
Daisy,Dog,Shih Tzu,female,36,6,White and Brown,220,up_to_date,Adorable lap dog with silky coat. Loves attention and cuddles.,https://images.unsplash.com/photo-1612536021275-b11bc99e59e2?w=800,small,2,minimal,low,intermediate,10,9,7,false,true,high,90,moderate,true,6,false,"affectionate,gentle,calm,companion"
Rocky,Dog,German Shepherd,male,28,35,Black and Tan,500,up_to_date,Loyal and protective German Shepherd. Needs experienced owner.,https://images.unsplash.com/photo-1568572933382-74d440642117?w=800,large,4,high,high,intermediate,6,5,4,true,false,moderate,170,moderate,false,5,true,"loyal,protective,intelligent,trainable"
Bella,Dog,Mixed Breed,female,14,15,Brown,180,partial,Sweet mixed breed puppy. Very playful and loving.,https://images.unsplash.com/photo-1534351590666-13e3e96b5017?w=800,medium,4,high,high,basic,8,7,6,true,false,low,120,moderate,true,4,false,"playful,friendly,energetic,puppy"
Oliver,Dog,Bulldog,male,60,25,White,320,up_to_date,Low-energy bulldog. Perfect couch companion. Snores loudly!,https://images.unsplash.com/photo-1583511655857-d19b40a7a54e?w=800,medium,1,minimal,low,intermediate,8,6,7,false,true,moderate,130,quiet,true,8,false,"lazy,gentle,affectionate,calm"
Scout,Dog,Jack Russell Terrier,female,16,7,White and Brown,240,up_to_date,Energetic and feisty Jack Russell. Needs lots of play time.,https://images.unsplash.com/photo-1477884213360-7e9d7dcc1e48?w=800,small,5,very_high,high,basic,6,5,6,true,false,low,100,vocal,false,3,true,"energetic,feisty,intelligent,vocal"
Cooper,Dog,Golden Doodle,male,22,22,Cream,380,up_to_date,Hypoallergenic Golden Doodle. Great for families with allergies.,https://images.unsplash.com/photo-1560807707-8cc77767d783?w=800,medium,3,moderate,moderate,basic,9,8,8,true,true,high,140,moderate,true,5,false,"friendly,gentle,playful,hypoallergenic"
Sadie,Dog,Cavalier King Charles,female,40,8,Tri-color,290,up_to_date,Elegant and sweet lap dog. Loves everyone she meets.,https://images.unsplash.com/photo-1587593810167-a84920ea0781?w=800,small,2,minimal,low,advanced,10,9,9,false,true,moderate,95,quiet,true,7,false,"sweet,gentle,affectionate,calm"
Bear,Dog,Bernese Mountain Dog,male,50,45,Black/White/Brown,420,up_to_date,Gentle giant with beautiful coat. Loves cold weather and kids.,https://images.unsplash.com/photo-1568572933382-74d440642117?w=800,large,3,moderate,low,intermediate,10,8,8,true,false,high,180,quiet,true,6,false,"gentle,loyal,patient,calm"
Ruby,Dog,Beagle Mix,female,26,13,Brown and White,200,up_to_date,Playful Beagle mix. Great with kids and other dogs.,https://images.unsplash.com/photo-1543466835-00a7907e9de1?w=800,medium,3,moderate,moderate,basic,9,9,7,true,true,low,105,moderate,true,5,false,"playful,friendly,social,energetic"
Shadow,Dog,Mixed Breed,male,30,18,Black,150,partial,Calm mixed breed. Can be left alone for work hours. Independent.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,medium,2,moderate,low,intermediate,7,7,5,false,true,low,100,quiet,true,8,false,"independent,calm,quiet,low-maintenance"
Smokey,Cat,Russian Blue,male,20,5,Gray,180,up_to_date,Elegant Russian Blue with plush coat. Quiet and reserved.,https://images.unsplash.com/photo-1513360371669-4adf3dd7dff8?w=800,small,1,minimal,low,basic,5,4,3,false,true,low,70,quiet,true,12,false,"quiet,independent,elegant,reserved"
Ghost,Dog,Greyhound,male,48,32,White,350,up_to_date,Retired racing greyhound. Surprisingly lazy indoors!,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,large,2,moderate,low,advanced,7,6,6,true,true,low,120,quiet,true,8,false,"gentle,lazy,calm,retired-racer"
Cleo,Cat,Siamese,female,18,4,Seal Point,140,up_to_date,Vocal and social Siamese cat. Demands attention and conversation.,https://images.unsplash.com/photo-1513360371669-4adf3dd7dff8?w=800,small,3,minimal,low,basic,6,5,7,false,true,low,65,vocal,true,10,false,"vocal,social,demanding,intelligent"
Duke,Dog,St. Bernard,male,60,75,Brown and White,480,up_to_date,Massive but gentle St. Bernard. Drools a lot but loves everyone.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,large,2,moderate,low,intermediate,9,7,8,true,false,high,220,quiet,true,6,false,"gentle,loyal,calm,drooler"
Bruno,Dog,Mastiff,male,72,80,Fawn,450,up_to_date,Calm and protective Mastiff. Needs experienced owner for training.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,large,1,minimal,low,basic,8,6,5,true,false,low,200,quiet,true,8,true,"calm,protective,loyal,massive"
Atlas,Dog,Newfoundland,male,54,68,Black,460,up_to_date,Water-loving gentle giant. Great swimmer and rescue dog.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,large,2,moderate,low,intermediate,10,8,8,true,false,high,190,quiet,true,6,false,"gentle,water-loving,patient,massive"
Titan,Dog,Irish Wolfhound,male,66,72,Gray,500,up_to_date,Noble and calm Irish Wolfhound. Tallest dog breed. Very gentle.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,large,2,moderate,low,intermediate,8,7,7,true,false,moderate,210,quiet,true,6,false,"noble,gentle,calm,giant"
Milo,Dog,Corgi,male,28,12,Tri-color,340,up_to_date,Adorable Corgi with short legs. Playful and loves herding.,https://images.unsplash.com/photo-1546975490-e8b92a360b24?w=800,small,3,moderate,moderate,intermediate,9,8,7,false,true,moderate,110,moderate,true,6,false,"playful,intelligent,herding,stubborn"
Peanut,Dog,Chihuahua,female,30,2.5,Tan,160,up_to_date,Tiny but mighty Chihuahua. Big personality in small package.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,small,3,minimal,low,basic,5,4,4,false,true,low,60,vocal,true,8,false,"feisty,loyal,tiny,vocal"
Gizmo,Dog,Pomeranian,male,20,3.5,Orange,200,up_to_date,Fluffy Pomeranian with fox-like face. Very energetic and playful.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,small,4,moderate,moderate,basic,7,6,5,false,true,high,85,moderate,true,6,false,"fluffy,energetic,playful,vocal"
Piper,Dog,Cocker Spaniel,female,32,13,Golden,270,up_to_date,Sweet Cocker Spaniel with long ears. Loves fetch and cuddles.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,medium,3,moderate,moderate,intermediate,9,8,8,false,true,high,115,quiet,true,5,false,"sweet,gentle,playful,affectionate"
Lucky,Dog,Terrier Mix,male,24,11,Brown,190,partial,Scrappy terrier mix. Full of energy and personality.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,small,4,high,moderate,basic,7,6,6,false,true,low,95,moderate,true,5,false,"energetic,scrappy,playful,terrier"
Zoe,Dog,Pug,female,36,8,Fawn,250,up_to_date,Adorable Pug with signature wrinkles. Loves to snuggle and snore.,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,small,2,minimal,low,intermediate,10,9,8,false,true,moderate,100,quiet,true,7,false,"affectionate,lazy,snuggly,snorer"